"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL463981";"BEGACESTAT";"BEGACESTAT|GSI-953";"Small molecule";"1";"391.74";"16";"61";"2.78";"66.40";"4";"2";"0";"5";"N";"0.76";"6.99";"None";"2.42";"1.96";"1";"MOL";"0";"22";"4";"2";"0";"390.9538";"NEUTRAL";"C9H8ClF6NO3S2";"O=S(=O)(N[C@H](CO)C(C(F)(F)F)C(F)(F)F)c1ccc(Cl)s1"
"CHEMBL1200961";"BROMPHENIRAMINE MALEATE";"(+)-Brompheniramine Maleate|BROMPHENIRAMINE MALEATE|Brompheniramine fumarate|DIMEGAN|DIMETANE|DIMETANE-TEN|DIMOTANE|DIMOTANE L.A.|PARABROMDYLAMINE MALEATE";"Small molecule";"4";"435.32";"23";"47";"3.93";"16.13";"2";"0";"0";"5";"N";"0.83";"None";"9.48";"3.75";"1.68";"2";"MOL";"0";"19";"2";"0";"0";"318.0732";"BASE";"C20H23BrN2O4";"CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O"
"CHEMBL3545341";"SAR-407899";"SAR-407899";"Small molecule";"2";"280.76";"1";"1";"1.66";"54.12";"3";"2";"0";"2";"Y";"0.84";"12.84";"9.82";"0.81";"-1.55";"2";"MOL";"0";"18";"4";"2";"0";"244.1212";"BASE";"C14H17ClN2O2";"Cl.O=c1[nH]ccc2cc(OC3CCNCC3)ccc12"
"CHEMBL3989829";"NETILMICIN SULFATE";"NETILLIN|NETILMICIN SULFATE|NETROMYCIN|SCH 20569";"Small molecule";"4";"1441.57";"1";"1";"-3.20";"199.73";"12";"8";"2";"8";"N";"0.18";"12.55";"9.80";"-3.53";"-10.64";"0";"MOL";"0";"33";"12";"11";"2";"475.3006";"BASE";"C42H92N10O34S5";"CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O"
"CHEMBL2103882";"TIVANTINIB";"ARQ 197|ARQ-197|TIVANTINIB";"Small molecule";"3";"369.42";"285";"292";"3.59";"66.89";"3";"2";"0";"2";"N";"0.53";"9.72";"None";"3.27";"3.26";"4";"MOL";"0";"28";"5";"2";"0";"369.1477";"NEUTRAL";"C23H19N3O2";"O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12"
"CHEMBL1729";"CISAPRIDE";"ALIMIX|CISAPRIDE|CISAPRIDE MONOHYDRATE|Cisapride|PREPULSID|PREPULSID QUICKLET|PROPULSID|PROPULSID QUICKSOLV|Propulsid|R-51,619";"Small molecule";"4";"465.95";"154";"990";"3.36";"86.05";"6";"2";"0";"9";"N";"0.44";"None";"8.24";"2.49";"1.59";"2";"MOL";"0";"32";"7";"3";"0";"465.1831";"NEUTRAL";"C23H29ClFN3O4";"COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC"
"CHEMBL2028850";"ICATIBANT";"HOE-140|ICATIBANT";"Protein";"4";"1304.55";"11";"37";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"0";"None";"None";"None";"None";"1303.6608";"None";"C59H89N19O13S";"N=C(N)NCCC[C@H](NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1cccs1)NC(=O)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](N)CCCNC(=N)N)C(=O)O"
"CHEMBL1182714";"CEVIPABULIN";"CEVIPABULIN";"Small molecule";"1";"464.83";"6";"10";"4.07";"76.37";"7";"2";"0";"8";"N";"0.30";"None";"10.10";"3.44";"0.85";"3";"MOL";"0";"31";"7";"2";"0";"464.1151";"BASE";"C18H18ClF5N6O";"CNCCCOc1cc(F)c(-c2c(Cl)nc3ncnn3c2N[C@@H](C)C(F)(F)F)c(F)c1"
"CHEMBL603";"ZAFIRLUKAST";"ACCOLATE|ICI 204,219|ZAFIRLUKAST";"Small molecule";"4";"575.69";"163";"509";"5.70";"115.73";"7";"2";"2";"8";"N";"0.28";"4.29";"None";"6.40";"5.46";"4";"MOL";"0";"41";"9";"2";"2";"575.2090";"ACID";"C31H33N3O6S";"COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12"
"CHEMBL1481";"GLIMEPIRIDE";"AMARYL|Amaryl|GLIMEPIRIDE|HOE 490|NIDDARYL";"Small molecule";"4";"490.63";"129";"844";"3.07";"124.68";"5";"3";"0";"7";"N";"0.54";"4.32";"None";"3.12";"2.18";"1";"MOL";"0";"34";"9";"3";"0";"490.2250";"ACID";"C24H34N4O5S";"CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O"
"CHEMBL1770916";"NIROGACESTAT";"NIROGACESTAT|PF 03084014|PF 3084014|PF-03084014|PF-3084014";"Small molecule";"3";"489.66";"4";"9";"4.79";"70.98";"5";"3";"0";"10";"N";"0.45";"11.26";"10.39";"5.43";"1.55";"2";"MOL";"0";"35";"6";"3";"0";"489.3279";"BASE";"C27H41F2N5O";"CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1"
