ChEMBL ID,standard_value
CHEMBL414,630957.34
,
CHEMBL306380,151
,
CHEMBL4303163,17050
,
CHEMBL1221984,1500
,
CHEMBL1256660,10000
,
CHEMBL463210,9510
,
CHEMBL269646,22750
,
CHEMBL486696,7294.09
,
CHEMBL267475,35
,
CHEMBL73234,32
,
CHEMBL35482,2800
,
CHEMBL1200347,3268
,
CHEMBL545437,47
,
CHEMBL1332518,15000
,
CHEMBL1330729,28.79
,
CHEMBL3786184,1030
,
CHEMBL3906257,100000
,
CHEMBL10284,15
,
CHEMBL959,7040
,
CHEMBL443793,563900
,
CHEMBL278255,230
,
CHEMBL473104,147.91
,
CHEMBL221753,26170
,
CHEMBL1256955,2511.89
,
CHEMBL63829,80000
,
CHEMBL1963131,4.7
,
CHEMBL460491,8
,
CHEMBL38938,708
,
CHEMBL562310,180
,
CHEMBL1591074,120000
,
CHEMBL2368547,68200
,
CHEMBL282748,54
,
CHEMBL1310336,4013.72
,
CHEMBL1256014,690
,
CHEMBL70159,10000
,
CHEMBL341812,1000
,
CHEMBL140784,98
,
CHEMBL66089,1.7
,
CHEMBL24147,3830000
,
CHEMBL900,12600
,
CHEMBL297784,50
,
CHEMBL1908307,10000
,
CHEMBL1412853,25000
,
CHEMBL1158,480000
,
CHEMBL1241589,11500
,
CHEMBL574,580
,
CHEMBL543557,330
,
CHEMBL13779,13250
,
CHEMBL1078974,8000
,
CHEMBL426,35888
,
CHEMBL151059,7
,
CHEMBL17205,100000
,
CHEMBL3622373,69
,
CHEMBL598608,10000
,
CHEMBL542549,11
,
CHEMBL1082832,230
,
CHEMBL1976486,20
,
CHEMBL3414574,15
,
CHEMBL1231530,39000
,
CHEMBL1599768,3.7
,
CHEMBL300117,2754.23
,
CHEMBL2152944,5
,
CHEMBL2303628,3981.07
,
CHEMBL487,6600
,
CHEMBL3970532,2400
,
CHEMBL314612,50
,
CHEMBL3746912,815
,
CHEMBL1164,1000
,
CHEMBL408430,280
,
CHEMBL1788402,7079.46
,
CHEMBL105867,31600
,
CHEMBL1923233,1500
,
CHEMBL1705373,1500
,
CHEMBL815,140
,
CHEMBL462894,100000
,
CHEMBL577784,4357.72
,
CHEMBL1947204,6800
,
CHEMBL1698008,4784
,
CHEMBL11672,13950
,
CHEMBL100,9.54993E+15
,
CHEMBL12014,12387.97
,
CHEMBL18116,380.19
,
CHEMBL273348,32000
,
CHEMBL176544,2
,
CHEMBL2079587,8325
,
CHEMBL267930,123.03
,
CHEMBL1370630,3800
,
CHEMBL38508,1
,
CHEMBL267014,9000
,
CHEMBL300058,15
,
CHEMBL1385206,8090
,
CHEMBL573214,4.37
,
CHEMBL493439,139
,
CHEMBL1974890,130000000
,
CHEMBL47955,20000
,
CHEMBL3360855,54000
,
CHEMBL1725730,80000
,
CHEMBL1232398,50000000
,
CHEMBL1241674,408
,
CHEMBL263664,6
,
CHEMBL1208572,28080
,
CHEMBL459008,26400
,
CHEMBL287275,2000000
,
CHEMBL2312168,852
,
CHEMBL1766570,51300
,
CHEMBL66879,3000000
,
CHEMBL328710,19400
,
CHEMBL1418182,1000000
,
CHEMBL1200624,4290
,
CHEMBL8747,45000
,
CHEMBL1661,1000000
,
CHEMBL178334,0.28
,
CHEMBL863,63000
,
CHEMBL2218907,1100
,
CHEMBL158897,4000
,
